fecha,sadi_dem_hoy,sadi_dem_ayer,sadi_dem_sem_ant,sadi_dem_prevista,sadi_temp_hoy,sadi_temp_ayer,sadi_temp_sem_ant,dem_nea_hoy,temp_nea_hoy,dem_noa_hoy,temp_noa_hoy,dem_gba_hoy,temp_gba_hoy,dem_centro_hoy,temp_centro_hoy,dem_patagonia_hoy,temp_patagonia_hoy,dem_litoral_hoy,temp_litoral_hoy,dem_comahue_hoy,temp_comahue_hoy,dem_provincia_bsas_hoy,temp_provincia_bsas_hoy,dem_cuyo_hoy,temp_cuyo_hoy,dem_edenor_hoy,temp_edenor_hoy,dem_edesur_hoy,temp_edesur_hoy,dem_edelap_hoy,temp_edelap_hoy,gen_sadi_total,gen_sadi_nuclear,gen_sadi_renovable,gen_sadi_hidraulico,gen_sadi_termico,gen_sadi_importacion,gen_nea_total,gen_nea_nuclear,gen_nea_renovable,gen_nea_hidraulico,gen_nea_termico,gen_nea_importacion,gen_noa_total,gen_noa_nuclear,gen_noa_renovable,gen_noa_hidraulico,gen_noa_termico,gen_noa_importacion,gen_gba_total,gen_gba_nuclear,gen_gba_renovable,gen_gba_hidraulico,gen_gba_termico,gen_gba_importacion,gen_centro_total,gen_centro_nuclear,gen_centro_renovable,gen_centro_hidraulico,gen_centro_termico,gen_centro_importacion,gen_patagonia_total,gen_patagonia_nuclear,gen_patagonia_renovable,gen_patagonia_hidraulico,gen_patagonia_termico,gen_patagonia_importacion,gen_litoral_total,gen_litoral_nuclear,gen_litoral_renovable,gen_litoral_hidraulico,gen_litoral_termico,gen_litoral_importacion,gen_comahue_total,gen_comahue_nuclear,gen_comahue_renovable,gen_comahue_hidraulico,gen_comahue_termico,gen_comahue_importacion,gen_provincia_bsas_total,gen_provincia_bsas_nuclear,gen_provincia_bsas_renovable,gen_provincia_bsas_hidraulico,gen_provincia_bsas_termico,gen_provincia_bsas_importacion,gen_cuyo_total,gen_cuyo_nuclear,gen_cuyo_renovable,gen_cuyo_hidraulico,gen_cuyo_termico,gen_cuyo_importacion
2026-01-26 00:00:00,21845.0,20358,16639,21786.0,26.9,26.0,19.3,1912.0,26.7,1830.0,23.6,7652.0,25.7,1934.0,16.9,871.0,22.6,2751.0,28.2,845.0,25.7,2741.0,22.6,1105.0,23.8,3999.0,0.0,2976.0,0.0,412.0,0.0,21845.3,1370.1,3059.6,3299.8,13299.3,816.5,241.8,0.0,127.1,101.6,13.1,0.0,1326.6,0.0,50.0,80.1,1196.5,0.0,4708.5,0.0,21.0,0.0,4687.5,0.0,1879.1,658.1,366.6,154.6,699.8,0.0,1178.1,0.0,785.8,191.5,200.8,0.0,2027.7,0.0,3.5,561.4,1462.8,0.0,3388.3,0.0,194.4,1683.8,1510.1,0.0,5058.6,712.0,1315.3,0.0,3031.3,0.0,914.8,0.0,62.2,526.8,325.8,0.0
2026-01-26 00:05:00,21714.0,20177,16523,0.0,0.0,0.0,0.0,1879.0,0.0,1825.0,0.0,7609.0,0.0,1942.0,0.0,865.0,0.0,2754.0,0.0,825.0,0.0,2703.0,0.0,1093.0,0.0,3980.0,0.0,2959.0,0.0,407.0,0.0,21714.3,1369.6,3041.0,3239.2,13247.8,816.7,185.7,0.0,126.5,46.1,13.1,0.0,1311.8,0.0,49.9,79.5,1182.4,0.0,4672.9,0.0,21.0,0.0,4651.9,0.0,1882.2,658.2,370.9,154.1,699.0,0.0,1123.4,0.0,731.3,192.0,200.1,0.0,2114.0,0.0,3.5,649.8,1460.7,0.0,3394.4,0.0,191.3,1693.0,1510.1,0.0,5107.5,711.4,1371.8,0.0,3024.3,0.0,820.8,0.0,62.2,424.8,333.8,0.0
2026-01-26 00:10:00,21697.0,20117,16496,0.0,0.0,0.0,0.0,1878.0,0.0,1824.0,0.0,7571.0,0.0,1943.0,0.0,861.0,0.0,2740.0,0.0,820.0,0.0,2675.0,0.0,1171.0,0.0,3953.0,0.0,2944.0,0.0,406.0,0.0,21697.4,1371.9,3055.5,3224.5,13229.0,816.5,170.0,0.0,108.3,48.6,13.1,0.0,1307.3,0.0,49.9,79.5,1177.9,0.0,4647.9,0.0,21.0,0.0,4626.9,0.0,1886.9,660.3,374.1,154.8,697.7,0.0,1094.8,0.0,702.3,191.6,200.9,0.0,2096.0,0.0,3.5,630.6,1461.9,0.0,3395.2,0.0,190.7,1695.6,1508.9,0.0,5186.3,711.6,1449.5,0.0,3025.2,0.0,831.2,0.0,62.2,424.0,345.0,0.0
2026-01-26 00:15:00,21451.0,20083,16363,0.0,26.7,25.9,18.9,1892.0,26.4,1825.0,23.3,7530.0,25.6,1933.0,16.7,860.0,22.1,2688.0,27.9,804.0,25.3,2682.0,22.4,1065.0,23.6,3936.0,0.0,2927.0,0.0,402.0,0.0,21451.6,1367.4,3057.4,2997.8,13212.5,816.5,226.4,0.0,109.2,104.1,13.1,0.0,1305.5,0.0,49.7,78.6,1177.2,0.0,4628.9,0.0,21.0,0.0,4607.9,0.0,1887.0,656.6,380.7,154.7,695.0,0.0,1076.2,0.0,685.0,189.0,202.2,0.0,2088.0,0.0,3.5,622.6,1461.9,0.0,3228.3,0.0,193.6,1525.4,1509.3,0.0,5201.9,710.8,1467.8,0.0,3023.3,0.0,734.8,0.0,62.2,323.2,349.4,0.0
2026-01-26 00:20:00,21363.0,20077,16349,0.0,0.0,0.0,0.0,1890.0,0.0,1815.0,0.0,7489.0,0.0,1930.0,0.0,845.0,0.0,2726.0,0.0,813.0,0.0,2610.0,0.0,1046.0,0.0,3920.0,0.0,2915.0,0.0,397.0,0.0,21363.4,1366.6,3013.7,2938.5,13227.9,816.7,154.7,0.0,108.0,33.6,13.1,0.0,1305.7,0.0,50.1,79.2,1176.4,0.0,4626.6,0.0,21.0,0.0,4605.6,0.0,1895.7,657.3,385.6,155.5,697.3,0.0,1070.5,0.0,676.9,190.7,202.9,0.0,1992.1,0.0,3.5,527.1,1461.5,0.0,3361.8,0.0,220.5,1627.3,1514.0,0.0,5144.9,709.3,1411.4,0.0,3024.2,0.0,747.0,0.0,62.0,325.1,359.9,0.0
2026-01-26 00:25:00,21343.0,19996,16286,0.0,0.0,0.0,0.0,1873.0,0.0,1817.0,0.0,7458.0,0.0,1895.0,0.0,832.0,0.0,2812.0,0.0,801.0,0.0,2591.0,0.0,1042.0,0.0,3904.0,0.0,2903.0,0.0,397.0,0.0,21343.2,1367.5,2983.2,2926.0,13248.8,817.7,185.3,0.0,108.6,63.6,13.1,0.0,1281.8,0.0,49.9,53.1,1178.8,0.0,4631.5,0.0,21.0,0.0,4610.5,0.0,1893.0,657.6,383.6,154.1,697.7,0.0,1100.1,0.0,708.9,190.0,201.2,0.0,1995.1,0.0,3.5,528.7,1462.9,0.0,3338.0,0.0,214.6,1613.4,1510.0,0.0,5084.3,710.0,1344.2,0.0,3030.1,0.0,760.0,0.0,64.1,323.2,372.7,0.0
2026-01-26 00:30:00,21227.0,19942,16085,0.0,26.5,25.8,18.7,1901.0,26.2,1817.0,23.4,7414.0,25.4,1844.0,16.8,844.0,22.6,2731.0,27.7,785.0,24.9,2672.0,22.3,1037.0,23.6,3887.0,0.0,2884.0,0.0,394.0,0.0,21227.2,1367.4,2991.8,2769.6,13282.1,816.3,363.3,0.0,126.3,223.9,13.1,0.0,1281.3,0.0,50.1,51.9,1179.3,0.0,4644.7,0.0,21.0,0.0,4623.7,0.0,1887.9,658.5,379.9,154.1,695.4,0.0,1123.3,0.0,731.6,187.0,204.7,0.0,2006.1,0.0,3.5,528.8,1473.8,0.0,3025.9,0.0,211.3,1301.6,1513.0,0.0,5052.1,708.8,1309.8,0.0,3033.5,0.0,761.3,0.0,63.9,322.4,375.0,0.0
2026-01-26 00:35:00,21229.0,19824,16050,0.0,0.0,0.0,0.0,1884.0,0.0,1815.0,0.0,7383.0,0.0,1843.0,0.0,839.0,0.0,2787.0,0.0,793.0,0.0,2676.0,0.0,1033.0,0.0,3846.0,0.0,2869.0,0.0,398.0,0.0,21229.8,1369.9,3015.8,2751.1,13276.5,816.5,382.8,0.0,108.3,261.4,13.1,0.0,1286.7,0.0,49.8,52.1,1184.8,0.0,4653.0,0.0,21.0,0.0,4632.0,0.0,1872.4,658.1,364.3,154.2,695.8,0.0,1164.6,0.0,771.6,188.3,204.7,0.0,1968.3,0.0,3.5,506.1,1458.7,0.0,2987.2,0.0,209.1,1266.4,1511.7,0.0,5049.7,711.9,1313.8,0.0,3024.0,0.0,768.1,0.0,63.9,322.6,381.6,0.0
2026-01-26 00:40:00,21081.0,19747,16019,0.0,0.0,0.0,0.0,1869.0,0.0,1803.0,0.0,7331.0,0.0,1834.0,0.0,842.0,0.0,2726.0,0.0,782.0,0.0,2683.0,0.0,1031.0,0.0,3837.0,0.0,2849.0,0.0,391.0,0.0,21081.3,1370.5,3004.4,2646.4,13243.5,816.5,385.5,0.0,108.5,263.9,13.1,0.0,1299.2,0.0,49.9,51.9,1197.4,0.0,4633.4,0.0,21.0,0.0,4612.4,0.0,1825.3,657.9,321.2,154.7,691.5,0.0,1212.8,0.0,823.6,185.6,203.6,0.0,1973.2,0.0,3.5,513.8,1455.9,0.0,2871.1,0.0,213.8,1154.6,1502.7,0.0,4994.2,712.6,1272.6,0.0,3009.0,0.0,772.4,0.0,63.8,322.0,386.6,0.0
2026-01-26 00:45:00,21039.0,19697,15865,0.0,26.4,25.7,18.5,1878.0,26.2,1803.0,23.4,7297.0,25.4,1808.0,16.7,839.0,22.5,2717.0,27.4,764.0,24.7,2669.0,22.1,1079.0,23.4,3822.0,0.0,2832.0,0.0,387.0,0.0,21039.5,1372.1,2951.4,2596.3,13303.6,816.1,366.7,0.0,107.2,246.4,13.1,0.0,1311.0,0.0,50.0,-3.4,1264.4,0.0,4624.3,0.0,21.0,0.0,4603.3,0.0,1767.4,659.4,264.7,153.9,689.4,0.0,1244.2,0.0,857.3,182.6,204.3,0.0,2003.5,0.0,3.5,544.4,1455.6,0.0,2857.2,0.0,209.5,1150.5,1497.2,0.0,4965.1,712.7,1238.2,0.0,3014.2,0.0,776.7,0.0,63.8,321.9,391.0,0.0
2026-01-26 00:50:00,20942.0,19658,15970,0.0,0.0,0.0,0.0,1876.0,0.0,1802.0,0.0,7262.0,0.0,1806.0,0.0,843.0,0.0,2710.0,0.0,773.0,0.0,2645.0,0.0,1041.0,0.0,3798.0,0.0,2815.0,0.0,388.0,0.0,20942.3,1370.6,3028.4,2459.0,13266.4,817.9,479.4,0.0,107.6,358.7,13.1,0.0,1302.1,0.0,50.4,-7.5,1259.2,0.0,4628.6,0.0,21.0,0.0,4607.6,0.0,1795.6,657.0,296.8,154.3,687.5,0.0,1281.0,0.0,895.4,182.1,203.5,0.0,1833.3,0.0,3.5,407.4,1422.4,0.0,2865.3,0.0,208.4,1151.9,1505.0,0.0,4950.8,713.6,1229.5,0.0,3007.7,0.0,666.9,0.0,63.9,212.1,390.9,0.0
2026-01-26 00:55:00,20899.0,19420,15780,0.0,0.0,0.0,0.0,1879.0,0.0,1791.0,0.0,7224.0,0.0,1808.0,0.0,839.0,0.0,2726.0,0.0,773.0,0.0,2636.0,0.0,1043.0,0.0,3783.0,0.0,2804.0,0.0,383.0,0.0,20899.9,1373.6,3150.1,2528.6,13044.6,803.0,572.6,0.0,125.9,433.6,13.1,0.0,1279.6,0.0,50.9,-7.5,1236.2,0.0,4592.7,0.0,21.0,0.0,4571.7,0.0,1852.9,658.4,360.0,152.7,681.8,0.0,1312.9,0.0,926.6,180.6,205.7,0.0,1731.3,0.0,3.5,418.3,1309.5,0.0,2837.5,0.0,206.9,1138.8,1491.8,0.0,4916.7,715.2,1226.4,0.0,2975.1,0.0,665.0,0.0,63.9,212.2,388.9,0.0
2026-01-26 01:00:00,20816.0,19542,15779,20774.0,26.0,25.5,18.2,1886.0,26.1,1790.0,23.2,7182.0,25.3,1803.0,16.6,841.0,22.9,2748.0,26.7,763.0,24.2,2562.0,21.9,1030.0,23.2,3764.0,0.0,2784.0,0.0,380.0,0.0,20816.7,1369.4,3226.3,2582.2,12979.5,659.3,672.3,0.0,128.2,531.0,13.1,0.0,1267.3,0.0,52.0,-7.5,1222.8,0.0,4639.0,0.0,21.0,0.0,4618.0,0.0,1871.7,657.4,377.8,153.4,683.1,0.0,1381.3,0.0,997.0,178.3,206.0,0.0,1555.4,0.0,3.5,369.4,1182.5,0.0,2851.1,0.0,205.5,1145.6,1500.0,0.0,4910.3,712.0,1204.9,0.0,2993.4,0.0,665.6,0.0,63.8,212.0,389.8,0.0
2026-01-26 01:05:00,20660.0,19483,15702,0.0,0.0,0.0,0.0,1850.0,0.0,1783.0,0.0,7151.0,0.0,1793.0,0.0,831.0,0.0,2672.0,0.0,769.0,0.0,2579.0,0.0,1038.0,0.0,3740.0,0.0,2768.0,0.0,377.0,0.0,20660.0,1367.9,3268.8,2315.2,13056.8,651.3,617.8,0.0,108.7,496.0,13.1,0.0,1281.1,0.0,52.2,-7.5,1236.4,0.0,4696.9,0.0,21.0,0.0,4675.9,0.0,1749.6,656.6,386.6,17.5,688.9,0.0,1443.6,0.0,1055.6,181.6,206.4,0.0,1573.5,0.0,3.5,405.5,1164.5,0.0,2729.6,0.0,210.1,1010.2,1509.3,0.0,4895.7,711.3,1183.9,0.0,3000.5,0.0,666.6,0.0,63.8,211.6,391.2,0.0
2026-01-26 01:10:00,20536.0,19309,15482,0.0,0.0,0.0,0.0,1849.0,0.0,1773.0,0.0,7111.0,0.0,1782.0,0.0,848.0,0.0,2664.0,0.0,763.0,0.0,2540.0,0.0,1016.0,0.0,3725.0,0.0,2747.0,0.0,375.0,0.0,20536.8,1367.7,3290.9,2267.5,12960.8,649.9,589.6,0.0,107.9,468.6,13.1,0.0,1270.1,0.0,51.6,-7.5,1226.0,0.0,4646.7,0.0,21.0,0.0,4625.7,0.0,1747.4,658.4,390.1,14.4,684.5,0.0,1482.8,0.0,1090.2,180.8,211.8,0.0,1548.3,0.0,3.5,399.9,1144.9,0.0,2727.5,0.0,209.6,1013.4,1504.5,0.0,4863.7,709.3,1165.6,0.0,2988.8,0.0,651.5,0.0,63.9,197.8,389.8,0.0
